INFO 2025-09-17 13:43:10,906 logging_utility Unauthenticated request: POST /api/token/
INFO 2025-09-17 13:43:12,112 logging_utility Response: 200 for POST /api/token/ by Anonymous (Duration: 1.21s)
INFO 2025-09-17 13:43:12,298 logging_utility Unauthenticated request: GET /api/notes/
INFO 2025-09-17 13:43:12,301 logging_utility Unauthenticated request: GET /api/user/me/
INFO 2025-09-17 13:43:12,303 logging_utility Entering function: NoteListCreate.get_queryset (User: 1)
INFO 2025-09-17 13:43:12,305 logging_utility Entering function: CurrentUserView.get (User: 1)
INFO 2025-09-17 13:43:12,306 logging_utility Retrieved 5 notes for user 1
INFO 2025-09-17 13:43:12,307 logging_utility Function CurrentUserView.get completed successfully
INFO 2025-09-17 13:43:12,307 logging_utility Function NoteListCreate.get_queryset completed successfully
INFO 2025-09-17 13:43:12,309 logging_utility Response: 200 for GET /api/user/me/ by 1 (Duration: 0.01s)
INFO 2025-09-17 13:43:12,317 logging_utility Unauthenticated request: GET /api/user/me/
INFO 2025-09-17 13:43:12,321 logging_utility Entering function: CurrentUserView.get (User: 1)
INFO 2025-09-17 13:43:12,321 logging_utility Function CurrentUserView.get completed successfully
INFO 2025-09-17 13:43:12,322 logging_utility Response: 200 for GET /api/user/me/ by 1 (Duration: 0.00s)
INFO 2025-09-17 13:43:12,338 logging_utility Response: 200 for GET /api/notes/ by 1 (Duration: 0.04s)
INFO 2025-09-17 13:43:12,348 logging_utility Unauthenticated request: GET /api/notes/
INFO 2025-09-17 13:43:12,353 logging_utility Entering function: NoteListCreate.get_queryset (User: 1)
INFO 2025-09-17 13:43:12,354 logging_utility Retrieved 5 notes for user 1
INFO 2025-09-17 13:43:12,354 logging_utility Function NoteListCreate.get_queryset completed successfully
INFO 2025-09-17 13:43:12,358 logging_utility Response: 200 for GET /api/notes/ by 1 (Duration: 0.01s)
INFO 2025-09-17 13:43:39,449 logging_utility Unauthenticated request: POST /api/notes/
INFO 2025-09-17 13:43:39,453 logging_utility Entering function: NoteListCreate.perform_create (User: 1)
INFO 2025-09-17 13:43:39,468 logging_utility Note created successfully - ID: 11, Title: 'radio', Author: 1
INFO 2025-09-17 13:43:39,469 logging_utility Function NoteListCreate.perform_create completed successfully
INFO 2025-09-17 13:43:39,469 logging_utility Response: 201 for POST /api/notes/ by 1 (Duration: 0.02s)
INFO 2025-09-17 13:43:41,312 logging_utility Unauthenticated request: GET /api/notes/
INFO 2025-09-17 13:43:41,316 logging_utility Entering function: NoteListCreate.get_queryset (User: 1)
